timestamp,function,duration_seconds
2026-06-14 18:53:48.562258,apply_high_pass_filter,0.0131,4096
2026-06-14 18:53:48.573051,apply_high_pass_filter,0.0009,4096
2026-06-14 18:53:49.213250,apply_high_pass_filter,0.0009,4096
2026-06-14 18:53:49.225269,apply_high_pass_filter,0.0009,4096
2026-06-14 18:53:49.572512,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:43.101895,apply_high_pass_filter,0.0054,4096
2026-06-14 18:55:43.115563,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:43.334862,apply_high_pass_filter,0.0013,4096
2026-06-14 18:55:43.588417,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:44.610606,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:44.622643,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:44.632091,apply_high_pass_filter,0.0008,4096
2026-06-14 18:55:44.642856,apply_high_pass_filter,0.0007,4096
2026-06-14 18:55:45.096597,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:45.151596,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:45.381820,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:45.631699,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:45.881376,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:46.152519,apply_high_pass_filter,0.0011,4096
2026-06-14 18:55:46.412052,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:46.681447,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:46.896949,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:47.156874,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:47.426393,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:47.691344,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:47.941524,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:48.182437,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:48.456498,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:48.705993,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:49.225685,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:49.237095,apply_high_pass_filter,0.0008,4096
2026-06-14 18:55:49.476229,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:49.736650,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:49.981210,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:50.241169,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:50.502302,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:50.746896,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:51.002458,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:51.261524,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:51.546370,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:51.772756,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:52.031733,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:52.549888,apply_high_pass_filter,0.0014,4096
2026-06-14 18:55:52.561548,apply_high_pass_filter,0.0008,4096
2026-06-14 18:55:52.801486,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:53.061368,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:53.316302,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:53.814666,apply_high_pass_filter,0.0013,4096
2026-06-14 18:55:53.840868,apply_high_pass_filter,0.0008,4096
2026-06-14 18:55:54.096116,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:54.341148,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:54.601062,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:54.860239,apply_high_pass_filter,0.002,4096
2026-06-14 18:55:55.117774,apply_high_pass_filter,0.0011,4096
2026-06-14 18:55:55.367729,apply_high_pass_filter,0.0011,4096
2026-06-14 18:55:55.620301,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:55.880083,apply_high_pass_filter,0.0023,4096
2026-06-14 18:55:56.119172,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:56.388511,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:56.634145,apply_high_pass_filter,0.0013,4096
2026-06-14 18:55:57.156773,apply_high_pass_filter,0.0012,4096
2026-06-14 18:55:57.171228,apply_high_pass_filter,0.0011,4096
2026-06-14 18:55:57.420456,apply_high_pass_filter,0.0013,4096
2026-06-14 18:55:57.661364,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:58.081109,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:58.185544,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:58.426769,apply_high_pass_filter,0.001,4096
2026-06-14 18:55:58.695847,apply_high_pass_filter,0.0009,4096
2026-06-14 18:55:59.118474,apply_high_pass_filter,0.0009,4096
